uid,level,vip_type,vip_status,time_after
40960200,3,2,1,-5562338
40960200,3,2,1,-5606341
40960200,3,2,1,-5606350
40960200,3,2,1,-5647668
40960200,3,2,1,-5799659
40960200,3,2,1,-5857418
40960200,3,2,1,-5879368
40960200,3,2,1,-5879404
40960200,3,2,1,-6159557
40960200,3,2,1,-6160140
40960200,3,2,1,-6160192
40960200,3,2,1,-6424780
40960200,3,2,1,-6666876
40960200,3,2,1,-7185551
40960200,3,2,1,-7698189
40960200,3,2,1,-7890054
40960200,3,2,1,-8322350
40960200,3,2,1,-8557739
40960200,3,2,1,-10900173
40960200,3,2,1,-11087043
40960200,3,2,1,-12036962
40960200,3,2,1,-12036981
40960200,3,2,1,-13102680
40960200,3,2,1,-13102695
73275305,5,0,0,925
73275305,5,0,0,-20224839
73275305,5,0,0,-20224857
73275305,5,0,0,-20654278
73275305,5,0,0,-22739138
73275305,5,0,0,-24876076
73275305,5,0,0,-45015863
73275305,5,0,0,-45015863
73275305,5,0,0,-45015864
73275305,5,0,0,-45015864
73275305,5,0,0,-45015864
73275305,5,0,0,-45015865
73275305,5,0,0,-45015865
73275305,5,0,0,-45719304
73275305,5,0,0,-45719305
73275305,5,0,0,-45719305
73275305,5,0,0,-45719305
73275305,5,0,0,-45719305
73275305,5,0,0,-45719306
73275305,5,0,0,-45719309
208279268,5,2,1,615451
208279268,5,2,1,434974
208279268,5,2,1,434870
208279268,5,2,1,140095
208279268,5,2,1,2906
208279268,5,2,1,-2925972
208279268,5,2,1,-2926071
208279268,5,2,1,-3406793
208279268,5,2,1,-3647474
208279268,5,2,1,-3647576
208279268,5,2,1,-3703505
208279268,5,2,1,-3703935
208279268,5,2,1,-4050773
208279268,5,2,1,-4440857
208279268,5,2,1,-4613840
208279268,5,2,1,-4675807
208279268,5,2,1,-4763077
208279268,5,2,1,-4832469
208279268,5,2,1,-4835439
208279268,5,2,1,-4836024
208279268,5,2,1,-4836103
208279268,5,2,1,-4836277
208279268,5,2,1,-4836312
208279268,5,2,1,-4837033
208279268,5,2,1,-5178015
208279268,5,2,1,-5567673
208279268,5,2,1,-5606838
208279268,5,2,1,-5791820
208279268,5,2,1,-5798504
208279268,5,2,1,-5871233
208279268,5,2,1,-6429600
208279268,5,2,1,-6564671
208279268,5,2,1,-6646867
208279268,5,2,1,-6648224
208279268,5,2,1,-6818311
208279268,5,2,1,-6988148
208279268,5,2,1,-7094425
208279268,5,2,1,-7095515
208279268,5,2,1,-7339587
208279268,5,2,1,-7414989
208279268,5,2,1,-7524618
208279268,5,2,1,-7524778
208279268,5,2,1,-7526388
208279268,5,2,1,-7707614
208279268,5,2,1,-8181241
208279268,5,2,1,-8883711
208279268,5,2,1,-12530753
208279268,5,2,1,-12533243
208279268,5,2,1,-14072202
208279268,5,2,1,-16793071
208279268,5,2,1,-16936212
208279268,5,2,1,-17087384
208279268,5,2,1,-17176588
208279268,5,2,1,-17176764
208279268,5,2,1,-17202044
208279268,5,2,1,-17266250
208279268,5,2,1,-17266321
208279268,5,2,1,-17303498
208279268,5,2,1,-17350976
208279268,5,2,1,-17351044
208279268,5,2,1,-17463554
208279268,5,2,1,-17626493
208279268,5,2,1,-17649399
208279268,5,2,1,-17905365
208279268,5,2,1,-17905877
208279268,5,2,1,-17905891
208279268,5,2,1,-18173020
208279268,5,2,1,-18173031
208279268,5,2,1,-18318069
208279268,5,2,1,-18354402
208279268,5,2,1,-18431382
208279268,5,2,1,-18493332
208279268,5,2,1,-18666674
208279268,5,2,1,-18958978
208279268,5,2,1,-18993227
208279268,5,2,1,-18993256
208279268,5,2,1,-19042182
208279268,5,2,1,-19042238
208279268,5,2,1,-19042502
208279268,5,2,1,-19042515
208279268,5,2,1,-19127383
208279268,5,2,1,-19248075
208279268,5,2,1,-19426587
208279268,5,2,1,-19426633
208279268,5,2,1,-19559534
208279268,5,2,1,-19611327
208279268,5,2,1,-19979250
208279268,5,2,1,-20031024
208279268,5,2,1,-20200021
208279268,5,2,1,-20338473
208279268,5,2,1,-20549634
208279268,5,2,1,-20599076
277746804,4,0,0,22414
277746804,4,0,0,22339
294139644,4,0,0,2682
357583173,4,0,0,584454
386243131,4,0,0,580723
393686726,4,1,0,613913
393686726,4,1,0,272558
393686726,4,1,0,189263
393686726,4,1,0,281
393724466,3,0,0,524819
393724466,3,0,0,524540
393724466,3,0,0,216548
393724466,3,0,0,569
471003008,4,1,1,689454
471003008,4,1,1,262399
471003008,4,1,1,243075
471003008,4,1,1,6909
509804691,3,0,0,867962
509804691,3,0,0,807050
509804691,3,0,0,789918
